segment_index,start_time_sec,end_time_sec,rms,zero_crossing_rate,spectral_centroid,spectral_flatness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,mfcc_delta_14,mfcc_delta_15,mfcc_delta_16,mfcc_delta_17,mfcc_delta_18,mfcc_delta_19,mfcc_delta_20,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20
0,0.0,1.0,0.05287379,0.0519375,1647.9067785375637,7.099842733985584e-07,20.03764995961862,226.37046738768538,-81.32105230337615,5.347060659890181,27.056285281562694,-21.569054300007256,14.034677955938541,-27.44301187163872,-59.50770784532876,-8.97199875481147,-2.0696487569605826,-2.702439656086142,7.592562790868925,-11.252122726692434,-10.744345389302115,-7.8326087908429525,-14.94584530007561,1.8061903613104897,2.4171103348146037,-10.395684401911431,-24.458032605849144,-8.451967927172035,7.429205200511161,-14.33422264741305,-11.55054751976502,3.986090829314455,1.627355292694562,4.3536032826755315,10.118841530255944,6.567456152703131,2.2359953179740444,-1.8660867471601537,-2.018706592084478,3.285347308204259,4.761753477504549,4.086359870331811,4.165098695714499,1.5601083312674224,-1.65252803266506,-3.71308669309787,3.305800950946698,-1.122371351467346,-5.107004197954909,-0.20289339701107093,1.2677662625401909,-0.00965305654073502,0.5173447598413778,-1.3212717370076013,-2.7114615983805836,-0.4137066635338419,1.3497511218976017,1.1201301745590198,0.037814405074430034,-1.0819449397771406,-1.5330163552134886,-2.0771372492743057,-1.714859436635354,-0.10703430356369392,0.03635226882680331,-0.016568724122327343
1,1.0,2.0,0.072063595,0.036041666666666666,1688.5541209221715,6.532095915339788e-07,29.945920586630084,225.31849862537595,-77.89796884260235,30.123177384668754,38.45545277084524,-18.875652957960746,24.308855296943378,-10.85349467193343,-35.252774686681306,-1.6102218708876674,-10.736973094488217,2.821638432081805,14.99902995375951,-8.965532272441965,-0.59331953830053,3.461311817563389,-4.011783067761287,4.550813463973114,-7.6342143122780435,-13.049901566942689,-24.458032605849144,-8.451967927172035,7.429205200511161,-14.33422264741305,-11.55054751976502,3.986090829314455,1.627355292694562,4.3536032826755315,10.118841530255944,6.567456152703131,2.2359953179740444,-1.8660867471601537,-2.018706592084478,3.285347308204259,4.761753477504549,4.086359870331811,4.165098695714499,1.5601083312674224,-1.65252803266506,-3.71308669309787,3.305800950946698,-1.122371351467346,-5.107004197954909,-0.20289339701107093,1.2677662625401909,-0.00965305654073502,0.5173447598413778,-1.3212717370076013,-2.7114615983805836,-0.4137066635338419,1.3497511218976017,1.1201301745590198,0.037814405074430034,-1.0819449397771406,-1.5330163552134886,-2.0771372492743057,-1.714859436635354,-0.10703430356369392,0.03635226882680331,-0.016568724122327343
2,2.0,3.0,0.1613321,0.03204166666666667,1038.531611205056,8.096499774261058e-08,53.28768751832709,271.4718707641173,-56.40110650436711,-2.7702393321127383,3.4673662290751706,-46.30709339543468,1.6600525148413612,-4.8705853715387715,-23.28083461728054,-7.0719052235154365,-29.254186476268654,-23.277616087004255,6.003755968988447,3.5390231781830392,7.8301018958155435,0.45840312750587064,-18.531486689261982,-10.483490232855104,-6.188672372278299,-9.97003804519268,-24.458032605849162,-8.45196792717205,7.429205200511177,-14.334222647413062,-11.550547519765033,3.986090829314459,1.6273552926945622,4.353603282675536,10.118841530255953,6.567456152703135,2.2359953179740484,-1.8660867471601545,-2.0187065920844796,3.285347308204262,4.761753477504551,4.086359870331814,4.165098695714503,1.5601083312674235,-1.6525280326650604,-3.713086693097872,3.3058009509467023,-1.1223713514673461,-5.107004197954912,-0.20289339701107065,1.267766262540193,-0.009653056540735352,0.5173447598413781,-1.3212717370076024,-2.711461598380587,-0.41370666353384256,1.3497511218976024,1.1201301745590204,0.03781440507443032,-1.0819449397771423,-1.53301635521349,-2.0771372492743074,-1.7148594366353558,-0.10703430356369413,0.03635226882680346,-0.016568724122327096
3,3.0,4.0,0.033985686,0.04275,1370.5690787803335,1.2522779608303317e-06,-28.47367403027928,213.97921044633134,-44.85679011831539,15.010459790744633,31.19421374086307,-12.176707113373364,14.76293432550083,-2.2122243041804737,-14.902962216215137,11.887998067117662,-5.307308108396484,-13.571859097941257,0.6488693502880523,-9.740544855675664,-10.530227949776052,-1.904926723728692,1.1192313833892045,4.701157020628927,-6.051479862053009,-10.05984931178769,-23.92475475656994,-14.020087099939285,-2.896383856178978,-18.214950881730356,-10.60848938359677,6.123362841140442,5.129157417904011,3.704416318615819,7.104581415597203,9.70717938015791,7.088519729911094,-0.8189276844291302,-2.0330501966786354,0.6920607595998403,-0.6760880235755489,-0.9722597238361907,-0.4339047031681855,0.05782176249682205,-0.5188289244516878,-4.2372125261547575,9.957226343169738,2.137848775808558,-6.418774150783315,2.249095597342307,2.6363264133215836,-2.644471747983326,-1.5104957864411395,-2.2175121244055163,-4.521412173021259,-3.133281294418647,-0.2104763434018461,1.4629534188986433,-0.05050159912405457,-1.5447494814715776,-1.1978027381617886,-2.3935587595720076,-2.3622946797606654,-0.15943775506779198,0.03699641768568531,0.7944494865356082
4,4.0,5.0,0.01839823,0.05075,1529.3738692867955,1.2199079995682361e-06,-73.04271576117243,189.78027184134748,-60.695615662963775,-58.76769378021304,-27.065832802271345,-4.988073075728669,26.94441490513262,-9.995630642137534,-19.088406429282113,17.116172039701524,6.395495339863783,-3.836124626875379,4.674110132182262,5.562120105945716,18.032876203958388,15.282309831462147,3.314140952921647,9.531560239319695,-6.636897053623212,-30.45614399497828,-8.195666775755246,-11.279765098125138,-12.943021260918314,-13.40832551530975,-5.682745275148183,2.8691895406977848,2.4631780292967265,-1.9281619203326195,-1.9313364043176124,2.92906122130653,6.558488721493528,3.2109845942694335,-1.8224627644152476,-0.8277341163792394,-0.18440754802284576,-3.77001657895572,-2.1096967880209316,1.7760800978342524,-2.037616242637729,-3.5338673971810617,12.190657368067038,4.779130061412491,-2.7202221131089255,7.008416115046509,3.868608370876248,-4.783404041823701,-2.3468155217178177,-0.8434236926756609,-3.613129904972175,-4.296355320276004,-1.749446231605007,1.47112728917529,0.3654344103300064,-1.8533707876962995,-1.2960900005232407,-1.5593320494866438,-1.3787317984320548,0.050489584162026334,0.5792118298748274,2.2343165263552924
5,5.0,6.0,0.033816997,0.058395833333333334,1851.6851415599785,1.8262793821381267e-06,-26.51265155646979,196.06386258706448,-90.2326335441989,-32.95284979993282,0.6796053685346833,-8.918348912111558,37.31246119131779,10.231109556445034,-1.8260817026945233,34.83163639829337,6.88078464700101,-10.993745720128283,5.498601888769432,-6.516776938324106,-9.075146810249695,-8.811940153595698,-17.104120404694026,-5.167602959630175,-10.004246593864025,-23.99291122282366,17.196916194952564,3.651174537347291,-14.478552322690646,-3.5516932267531804,-1.302816575465536,-8.677817266293832,-6.343035007812213,-3.593074737847964,-6.463130367563555,-7.279752853691791,-0.9776331007949245,2.910144676618264,-2.3693365015393666,-2.381859386861874,1.245820299459308,-3.9532457028844523,-4.508976961221102,0.6549336726450486,-1.2750018392502993,0.16955109162176324,8.738114503108811,6.411520527741993,4.07151635638894,9.457287719334529,4.518339151397905,-3.9553171926635673,-2.643834698166468,0.7354145366856479,-1.256218152178921,-4.5791516507225225,-3.007041394791495,0.7976571271330177,0.41792338495163606,-0.8012155420395536,0.29721629433585506,0.7353136264625305,0.46527722679480144,0.2317840814826525,1.1905312168686206,2.906031938674305
6,6.0,7.0,0.05850301,0.049916666666666665,1690.6023990009,5.926410443073476e-07,11.32884240264613,224.03071920312507,-98.42829109601688,-45.830212113322716,-9.68905596050154,-33.590324792576666,2.7011792284165086,-20.733061903514617,-39.475956895628904,-3.8984182825706473,-2.5557892464997796,-8.511749804563584,-5.533424122328476,-2.211531362388934,6.180523585938138,-14.938173052339213,-19.968294735325017,3.3312902464457035,-14.400370219561431,-20.672844075579995,15.934418758724735,6.608051561247105,-0.3808211317776105,13.376229100330868,3.1396579305505785,-12.530339326086892,-4.370626103036408,3.7852303475291262,-1.1629521030245296,-6.420854331752019,-2.478159424697972,3.625013518192594,-0.02339138800408329,-4.444546557046373,-2.6796506866290764,-2.2198073875772706,-0.6910241674193084,1.5140002970034419,1.621617574108381,5.255114129790324,3.2020526628817323,4.243451067703169,6.570944430255107,8.479002778431838,4.080863984341578,-0.004018130271138287,0.8163443055771402,2.856110633233426,3.001422966996172,-0.19034312429193884,-2.645944931840732,-0.5546519582817595,1.1812929146236484,-0.07956601966481079,0.03347886125331067,1.9278824523592761,1.1006131108075679,-0.6906328940310864,1.5052412256277674,2.484354229096447
7,7.0,8.0,0.052993424,0.060020833333333336,2008.9763096923223,1.5041063299600455e-06,15.325127862574213,215.109859452179,-98.38321401524203,-9.216747176466418,15.99174244265049,-41.2646675864185,-4.830622875202155,-14.80888236273174,-37.0248388208595,-14.003471040205184,-5.719831319189321,3.3166768739941563,-6.094046030153404,-17.7630160558177,1.625049856530609,-6.560913796250262,-9.784435578592962,11.075960380291164,-8.544752475335393,-14.103743813378019,7.7007749917340975,9.093607209084535,11.180097861195353,15.679210407121943,7.572004770543355,-5.953458688785043,-4.673114006761753,4.524792868113184,0.4392985040560597,-8.513621096925412,-3.428363170950623,2.962343489274376,-0.8429689601260387,-1.5056107302643587,2.0576150174068415,1.9292038127872344,1.1831451205050083,1.347782070325489,3.6042102515183574,5.898456403731066,-0.21718257552131262,0.9977756526897756,3.593042171541154,3.4645693478475144,2.104229345635941,3.677758164814999,3.3217970612465004,1.3500819004140603,3.5673011431831902,3.699688415467236,-0.9467466022989668,-1.4476203524666915,1.5458534576559229,1.1705425521451365,0.10873747679221246,1.412570053864598,0.7626508146170867,-1.1864541022693378,0.20068896809164893,0.5543187715359361
8,8.0,9.0,0.054362677,0.05985416666666667,1608.4758563916068,8.746713695284153e-07,-14.289511677070804,213.29753121502574,-58.52443108633027,-3.7545995902919413,-19.023611686576366,-51.46661036900962,26.162826423210564,21.45051705509647,-7.303788385322272,9.429454100190725,0.30500619946909624,7.133731667026361,10.353477151623263,-11.037493120539342,-0.7154755625771372,3.0577597149030815,-3.8008222972254257,8.979780054376231,0.741443757654372,-9.1251570507495,12.56266714026264,7.216273904522071,7.0823757984142,19.371236559911846,10.284163973555247,1.486919600587698,5.709939056657195,8.293457442853924,9.62456399485343,2.5942797214636464,-5.445870902632277,0.4116253965325817,3.3208180379963266,-1.6636885430020512,-0.4229106007300594,2.928170925004811,0.5473077251538488,-2.0235085711613974,3.048983840116775,6.023451092246515,-6.54232076822915,-2.217900710245579,2.6100357030977954,-2.95845838586721,-1.4366305927772245,5.006743871390641,2.5954117436829143,-1.4609372369407148,0.9417578424670197,2.5659494743466644,-0.5412022156708981,-1.9648088098257162,0.5521503883540737,1.4766069284365986,0.173158388395827,0.1595739371665008,0.1768666768774574,-0.503245935229583,-0.9429662067842371,-1.9718228520796324
9,9.0,10.0,0.072972804,0.0609375,1420.4458486830792,3.5861580873365166e-07,24.80040044205914,246.8984926265368,-54.28407424306548,24.405395974161458,43.20690708428885,-29.747499567820277,2.2160675601120063,11.763284417705393,-15.715673437567546,-14.40040527771436,-11.691428930736532,-4.004769009551386,-6.659693548836628,-9.631849710570691,4.660927851042144,-8.16388747328068,-19.272131021218783,-1.2529375119679969,0.4458976751198503,-0.2744727165836003,17.79687912657705,8.335941629158684,-0.24493993008079065,10.773649782693893,5.646077131211829,2.7023440944438546,5.225667718573479,0.9032212165599338,5.979617299413405,6.711122197036545,-4.227510373322604,-2.7212630248851823,3.6878260737400375,2.0804243668416436,0.6611376404708615,0.5356154101474927,-1.3148888344222491,-3.508582404619217,-0.9852401317962521,2.5569764680733473,-11.194781312184405,-4.424248998296874,3.0519762418559506,-5.99960898993117,-4.995294037565613,2.811276801142204,1.3882149362957437,-2.070392252181992,-0.5236472436644279,2.7050560097576497,1.847940874709838,-1.244817396037559,-0.18191316690914477,1.0981881030175646,-0.567592257415151,-0.8794116261948116,0.02934501066764654,0.12680248309112352,-1.5895700203887255,-3.0681724068125877
