segment_index,start_time_sec,end_time_sec,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,mfcc_delta_14,mfcc_delta_15,mfcc_delta_16,mfcc_delta_17,mfcc_delta_18,mfcc_delta_19,mfcc_delta_20,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20
0,0.0,0.5,69.08566975288224,159.58663270846404,-18.351617022945568,-2.8135511558722874,-17.791378306083722,2.197653901669078,-21.2780971867737,6.785702002521426,-8.778266407796934,-8.763442571452343,-5.420976221415714,4.639974041342077,-4.8537578004105395,1.6385535673159424,1.939026031318738,5.598552385849948,-10.24340712001961,1.1995848904342663,2.7938636074374257,-2.3505881519301974,-2.0710143780861046,-8.060189661726552,2.047268108355791,0.7113510285210477,2.2752572615413817,2.68825216303151,-1.3814913621742562,1.303174431436106,1.1848150380604021,1.11829543937558,-0.8516920464040382,0.04902551948280555,0.7499427617864984,1.1453697368638247,-4.038020551099596,-1.619044534537129,-1.890870980642883,-1.0244339363212742,-1.3553542442010207,1.1558779420371232,1.186979508220602,1.9201346854826213,-1.3583897624372603,-0.1659969528012585,-0.7329721914586887,-0.6570492685157246,0.5853960897879024,0.2811997772037393,0.2456457345376431,-0.42321048590416394,-0.011336732167086775,0.17829829075499154,0.47151304977519304,0.019576239993876525,0.9273260086851165,-0.141552698309799,-0.021160161557139262,0.12810096530383192,0.797644347024922,-0.378561319303442
1,0.5,1.0,62.71983471462805,166.57403842486224,-24.098993148727658,-0.6349398031330759,-24.234125399510713,1.7437790184389639,-22.320867390410264,5.468351498133987,-9.34062828054661,3.797764064698007,-5.097473168929303,3.573827523761799,-7.655972038510489,7.359941020353405,10.695658378284694,8.63889348760001,-4.161657294982678,-0.0030496656037684554,-5.916648933592882,4.554746410060011,-2.0710143780861046,-8.060189661726552,2.047268108355791,0.7113510285210477,2.2752572615413817,2.68825216303151,-1.3814913621742562,1.303174431436106,1.1848150380604021,1.11829543937558,-0.8516920464040382,0.04902551948280555,0.7499427617864984,1.1453697368638247,-4.038020551099596,-1.619044534537129,-1.890870980642883,-1.0244339363212742,-1.3553542442010207,1.1558779420371232,1.186979508220602,1.9201346854826213,-1.3583897624372603,-0.1659969528012585,-0.7329721914586887,-0.6570492685157246,0.5853960897879024,0.2811997772037393,0.2456457345376431,-0.42321048590416394,-0.011336732167086775,0.17829829075499154,0.47151304977519304,0.019576239993876525,0.9273260086851165,-0.141552698309799,-0.021160161557139262,0.12810096530383192,0.797644347024922,-0.378561319303442
2,1.0,1.5,60.83012312915337,154.8528003466372,-18.130832653287587,4.285425512721776,-18.733803451056826,7.8884333380665765,-28.180075494123685,7.781846803292015,-12.767887200729199,-3.376091680759583,-6.0032122762528335,6.776044768345072,-10.701638740733445,-2.4292996441019294,3.53126635446249,11.895174452802074,-3.069688629913925,1.5645105078469974,-4.859987944909285,-1.235262758870868,-2.0710143780861094,-8.060189661726572,2.047268108355793,0.711351028521048,2.2752572615413857,2.6882521630315113,-1.3814913621742546,1.3031744314361065,1.1848150380604032,1.1182954393755802,-0.8516920464040381,0.04902551948280557,0.7499427617865001,1.1453697368638254,-4.038020551099598,-1.619044534537131,-1.8908709806428843,-1.024433936321275,-1.3553542442010207,1.1558779420371237,1.1869795082206027,1.9201346854826231,-1.3583897624372614,-0.16599695280125862,-0.7329721914586894,-0.6570492685157255,0.5853960897879029,0.2811997772037393,0.24564573453764324,-0.4232104859041644,-0.011336732167086694,0.1782982907549916,0.47151304977519326,0.019576239993876435,0.9273260086851174,-0.1415526983097991,-0.02116016155713893,0.12810096530383205,0.7976443470249227,-0.3785613193034423
3,1.5,2.0,49.01473330145818,137.97925179129481,-9.92491049504737,-3.0802008210982046,-12.017575365345987,10.939672748967435,-19.615200552439454,7.711596179504523,-6.710277234757806,-0.630467311275676,-2.786335020697912,9.273185762952346,-7.118126196991884,2.3754816852050977,-10.93947416397856,0.7187645356465077,-14.485557951552096,3.7360795987675806,-1.716335876975409,4.021453797207765,0.32121089839226086,-6.297501315812496,-0.9128176505279485,-0.4125329779283516,1.8136077168817089,2.1370313410001462,-0.07763250142162922,2.7154363495273857,1.7772932712607132,-1.173031499001339,-1.3866474739385004,1.1824175439556819,2.607658478016232,0.4400307873715812,-3.4657472972500623,-2.4021265718260287,-3.361053179864883,-0.9931574232386998,2.0006843063737034,0.1260406702047571,0.8809047858526358,2.8863799228442053,-1.2872582133686414,-0.06895708959743142,-1.1215319781781854,-0.3181457317731558,0.801574046778227,-0.24230978866556985,-0.4784582528358648,-0.4575321756584083,-0.028939112541460227,-0.15828301038667827,-0.1260800230099225,-0.31775228950060846,1.657259968591253,0.46051574501576303,1.0001752026107618,0.5353009252107981,0.6514014058827682,-0.5689912607486189
4,2.0,2.5,65.58314856903664,133.58307771661492,-15.202317808006754,1.9658344957155152,-12.523367015459165,11.040967851562392,-29.538387416630375,12.179951819016686,-4.169366740389325,-0.9578496865876036,-10.835005527551598,2.0354225191608313,-1.3729669122373442,9.857631919209219,-7.4335104530476155,1.4633941891410494,-14.535811694949317,-5.79214942335778,-6.0830641418764095,3.6954478646815394,2.667770524777722,0.6591395927295299,-3.2646378243886423,0.44330826773945486,-1.1587789234222265,-0.32138376853143347,0.8935596563889431,2.0030423584091617,2.116804594148462,0.14790647904321902,-0.6408979934722405,0.37382096102132484,2.1786501525475965,1.5959204115793286,0.31247286540122154,-1.9352670074416742,-1.2615806888175776,-0.3995673663434015,0.9548482156362283,-0.22201001856390373,0.6016705314870422,3.1088624435389716,0.009811496967240202,-0.12714999116879375,-1.3285722682486778,-0.755712527374862,0.5969938060591395,-1.036536828207745,-1.2642078267571906,-0.2977593399270215,0.13071086885464633,-0.14916822136438668,-0.6477978846714236,-0.411071681026252,1.7453897519614618,0.8360811201173853,1.3317544325327204,0.8047131312528748,0.18843865148690808,-0.4078550756133538
5,2.5,3.0,61.94937648664772,145.72139316081092,-30.127338824007815,-1.537809184271702,-18.271305032901004,10.852668466691782,-22.029873936265066,16.84648073790857,-4.753422154412987,-3.276514427394675,-9.61481391297242,11.856226368132326,0.7179844373226132,3.416629175555736,-1.1506897042105548,1.8441507603003848,-15.233861661789387,-1.2905068161948752,4.69831069675919,2.7195944493075923,-0.035882900254843926,2.012045325266416,-1.733069992115195,0.5005869609246874,-1.6153845368677353,2.6023414699472043,1.4888533624352773,-0.25830847537826995,-1.6734710041629497,-0.6841709587502797,-1.101784635577238,-0.904787253219845,-0.5948110486436617,-0.6686670479969682,2.073032583606254,0.8416454269939566,2.79535988649827,1.3396374047437773,0.746551555294194,-1.0001343814054557,1.740813444917883,0.5409807584394184,2.0319225506209446,-0.04817824778494004,-0.9817358925443891,-0.8817779594538024,-0.21741513651119593,-1.3556778750013476,-1.3728358291287752,0.33544738769010957,-0.169200777507759,-0.5801730778270109,-1.0218027620026242,0.1437778785962848,0.9240111680437703,1.0683497440392888,1.3405172648296124,0.43233552655923324,-1.0025417817270634,-0.27853199538619117
6,3.0,3.5,67.7016541604472,154.2774276255268,-24.352807610750567,5.730771033005798,-21.400833234390447,6.325016636547238,-22.504940520266167,13.229616316135793,-3.162291770159303,-1.313535727483989,-5.793462797476781,7.353629270861705,-3.726443295152718,5.0297286686193905,0.19923845158459386,1.65614630326677,-9.003440218883163,2.0799668836112186,-3.2930701535954463,-1.6943831777402996,1.1158851786726516,3.329349235428822,2.506451763985617,-0.38095889674943967,-2.6531079528272765,-1.3229655383163255,0.8202347361929879,-2.3926372971497876,-3.410841958013714,-0.6149315303850564,-0.340569121311438,0.3467868112486361,-0.8878118982406689,-0.35563975058315883,1.9195382682795477,0.9394750666398005,1.6896946488391376,1.8327343059518577,0.21390538877327406,-0.32030991022453764,2.153544045372226,-1.34056979731389,1.4856485842080065,0.5140888563120068,-0.7076097727052717,-0.8976312493412418,0.15858776897929625,-0.4386619299999489,-0.8407246266736663,0.3195993274102405,-0.4762128360459115,-0.7506883542682886,-0.3820430847192829,0.5920009473707024,-0.0995237371870467,0.479504574786557,0.4342404100354045,-0.22631510463454685,-0.6754544007695841,-0.018993565341395843
7,3.5,4.0,47.77606600447868,137.69230346317096,-14.015015554251436,-2.459734285119911,-15.655764940219019,26.309355706211026,-15.687657188445177,5.895221554053622,-15.58116974068756,-3.8734790845788796,-10.816029563621507,2.0901461210026886,-8.915443248752505,1.446098070515173,-4.3906856982634,4.830615613553428,-3.274944257093831,6.4982084690019635,0.6214249053550776,1.7156974113914094,9.801220796034205,-4.927702344965051,6.36125030838964,-0.2412906346086043,-2.3479072311377087,-1.771067571376417,-1.1280457238796306,-1.865113197699874,-2.3230625983020707,0.8856244441633453,-2.3828157975576962,-1.704930770293026,-0.9681243066027533,2.1347002614342485,0.35077584152962316,1.502251111329675,1.8658954754548178,0.05236937340983546,-2.641553188830134,-1.2174693608958809,3.524838347952077,-1.6342206345843993,0.004991295444095321,1.1647932662955467,0.04433496410920333,-1.5502998584405758,0.028182725359582172,0.46317652946972043,0.634119848232314,0.3655232140426669,0.20418323243741726,-0.28675327609420287,0.3016086490750053,1.1378284030047052,-0.6805318784884916,-0.5474258194665145,-0.7485025375496356,-0.44385410430083,-0.23738896627136294,0.18718870984440816
8,4.0,4.5,78.24922970348442,154.244368742579,-10.726220622956866,0.5220025623924227,-27.096676825936534,-3.3022034597788528,-28.608322109575383,5.692394925195233,-15.809702737320599,-3.734025009920782,-11.937243308784243,8.652396698968829,-0.9953125604031272,9.064698718813707,3.78417888537654,4.667537095713527,-12.066797153101412,-0.5228355361969163,-2.975094302307984,2.5958468325169437,8.516938903494323,-2.5738355587241815,0.11644494639896855,3.3846913470661333,-4.330566439813596,-2.6228354945758294,2.9949480444428778,0.6131350695702205,-1.7620227421503065,0.9610054146376079,-2.3814465927115678,-2.979549051783525,0.45509135793072925,3.1542414937172305,0.6759825505043039,0.1319530243232499,1.37435356688117,-0.887508873849164,-0.7283714161495262,-0.20831035552567034,-0.061994768407260786,-0.5821179849039265,-1.3384627943493037,0.9696400451318884,1.1044680205792599,-0.09120919110016489,-0.25314002181412665,0.7762403701513789,1.6520167103669328,0.24471507914303797,0.7335001722933867,-0.0051542384692312435,0.19823562128378044,0.45160069118759494,-0.7831183347521531,-0.804394630524363,-0.8007241148263696,-0.3845851022406069,0.16577722682396198,0.10341850625231676
9,4.5,5.0,105.68169269530011,121.09941087745958,-5.134380775956489,-0.1398781220080354,-27.162919392816498,6.81094065797275,-24.61841176100861,11.289525444879487,-10.045029662342685,2.3618524346404457,-18.457002645107163,2.6821888026136396,-5.488202463065946,12.072645457629815,-1.1892807134584134,7.849710920725377,-4.372705817406179,0.2727412607583698,-8.668443173035204,-5.5128673603004295,13.887781977094695,-3.2074654505790736,-0.5131101061013938,4.441728170494631,-0.554980472828559,-4.499222844125919,0.5424103351082432,0.5546879886103266,0.6727186290669147,0.35547663895172177,0.9395702623099127,-0.6753857021747779,0.24178056864566466,3.265534344876359,-0.7078489499485799,-1.491722649180339,-0.7894822602709216,0.4804884731401395,0.030745126398780076,-0.12019060953284925,-5.407372024827592,2.157855228525417,-1.6119254286002762,0.07175823021362714,1.7001964907210116,0.9920099960295242,-0.5457594725358456,0.14497206950715852,1.2820987616136226,-0.16061704320106837,1.6689090020274997,0.9805518485190683,0.1286755775944105,-1.0813854606265105,-0.4129838130007976,-0.8173628098337062,-0.9432075461252563,-0.05974493544383024,0.7549044187985096,0.4565377295848323
