segment_index,start_time_sec,end_time_sec,rms,zero_crossing_rate,spectral_centroid,spectral_flatness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,mfcc_delta_14,mfcc_delta_15,mfcc_delta_16,mfcc_delta_17,mfcc_delta_18,mfcc_delta_19,mfcc_delta_20,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20
0,0.0,0.5,0.0009262348,0.06429166666666666,2557.5113885130763,0.0009054041257910737,-351.58275684134276,164.33334449804613,13.176413868017464,-16.85091742472432,8.268283887609712,8.867540856440995,7.620876128327509,2.414822784264552,-5.216582480428386,7.147906299748646,3.885586347401263,-2.602198174898364,-1.2101911855349778,0.8289052463966209,-0.28378365870505706,4.814075536694845,0.2599945610543939,-3.3396460317736234,-3.6445503495315137,2.6154064229249494,41.45167997925248,0.0857735338615991,3.7170414021164464,7.592639799661977,-3.9998598242098544,0.052303565386655426,-2.5170121378118084,2.2776481462313924,-2.051094391112578,2.020090049123357,-1.838924403262156,1.9578706362604337,-0.811849023832081,0.4427012875157638,-0.8750138546684825,2.9275310530387144,-2.5095819857797093,1.5831947019209147,-0.9210121568895631,-0.3335423946167012,-6.146972110901893,-0.5880661106533606,-0.898703085317057,-0.9722781753051097,0.863493165012898,0.061035568380462264,0.3727165583518772,-0.49213645410159207,0.3190681118396748,-0.15315348161067666,0.010226975394889325,-0.17224329126157392,0.11555538857887253,-0.0026882310476710643,0.13699140717780475,-0.5118191002464457,0.30988906448461434,-0.34771942980616233,0.04912049128262696,-0.15016010960007087
1,0.5,1.0,0.0009828688,0.045125,2387.7004986575394,0.0006464702889954232,-356.99539509208455,166.2826626082864,10.468381331400142,-21.6235280738375,11.04466390399272,9.544653613661076,7.368387861962912,4.335209432928583,-1.6444734121894635,3.545184579091445,5.34920904440526,-1.3869616430459981,-2.8492916379070587,2.94764717304742,-4.301061119780815,-0.5245781283690142,-1.1074636958599666,-3.5218369605464543,-5.951152458664755,1.4989917009821516,41.45167997925248,0.0857735338615991,3.7170414021164464,7.592639799661977,-3.9998598242098544,0.052303565386655426,-2.5170121378118084,2.2776481462313924,-2.051094391112578,2.020090049123357,-1.838924403262156,1.9578706362604337,-0.811849023832081,0.4427012875157638,-0.8750138546684825,2.9275310530387144,-2.5095819857797093,1.5831947019209147,-0.9210121568895631,-0.3335423946167012,-6.146972110901893,-0.5880661106533606,-0.898703085317057,-0.9722781753051097,0.863493165012898,0.061035568380462264,0.3727165583518772,-0.49213645410159207,0.3190681118396748,-0.15315348161067666,0.010226975394889325,-0.17224329126157392,0.11555538857887253,-0.0026882310476710643,0.13699140717780475,-0.5118191002464457,0.30988906448461434,-0.34771942980616233,0.04912049128262696,-0.15016010960007087
2,1.0,1.5,0.0011373223,0.034666666666666665,2197.2830702761107,0.0005247881214983745,-341.1709560549234,171.89972184080557,2.3774420000110035,-16.341014125804147,9.738360006302038,-0.8015984375459971,7.005068377877368,6.410246127897264,-6.439281176249061,4.199354193259072,8.378632904216648,-5.112635555825506,-2.943833200423269,6.548648530158976,-0.8097569315651694,3.6910976653327707,5.313082611906637,-1.8047147203363425,-4.898388911042078,3.5790922982186366,41.45167997925248,0.0857735338615991,3.7170414021164464,7.592639799661977,-3.9998598242098544,0.052303565386655426,-2.5170121378118084,2.2776481462313924,-2.051094391112578,2.020090049123357,-1.838924403262156,1.9578706362604337,-0.811849023832081,0.4427012875157638,-0.8750138546684825,2.9275310530387144,-2.5095819857797093,1.5831947019209147,-0.9210121568895631,-0.3335423946167012,-6.146972110901893,-0.5880661106533606,-0.898703085317057,-0.9722781753051097,0.863493165012898,0.061035568380462264,0.3727165583518772,-0.49213645410159207,0.3190681118396748,-0.15315348161067666,0.010226975394889325,-0.17224329126157392,0.11555538857887253,-0.0026882310476710643,0.13699140717780475,-0.5118191002464457,0.30988906448461434,-0.34771942980616233,0.04912049128262696,-0.15016010960007087
3,1.5,2.0,0.016563477,0.0295,2412.059670226262,0.00038156441684894277,-136.64566988994068,174.71211363319975,37.21714105405433,12.65382840851422,-20.347098517192542,3.1661849058174765,-2.910843657159724,26.9449933349971,-11.81174739183498,16.42542004352078,4.312349321085424,7.056847866388129,-6.602974336602937,-3.8203238698568596,-5.290118205212486,20.975905855505406,-20.916785684189023,10.545656944240783,-4.049660963888773,6.303516616741954,41.45167997925248,0.0857735338615991,3.7170414021164464,7.592639799661977,-3.9998598242098544,0.052303565386655426,-2.5170121378118084,2.2776481462313924,-2.051094391112578,2.020090049123357,-1.838924403262156,1.9578706362604337,-0.811849023832081,0.4427012875157638,-0.8750138546684825,2.9275310530387144,-2.5095819857797093,1.5831947019209147,-0.9210121568895631,-0.3335423946167012,-6.146972110901893,-0.5880661106533606,-0.898703085317057,-0.9722781753051097,0.863493165012898,0.061035568380462264,0.3727165583518772,-0.49213645410159207,0.3190681118396748,-0.15315348161067666,0.010226975394889325,-0.17224329126157392,0.11555538857887253,-0.0026882310476710643,0.13699140717780475,-0.5118191002464457,0.30988906448461434,-0.34771942980616233,0.04912049128262696,-0.15016010960007087
4,2.0,2.5,0.009742449,0.03075,2246.6313829577516,0.00019914914053817393,-239.00604997936182,166.50532469830833,41.77156542410892,13.607704330117162,0.5538709432884159,19.13729002240757,-4.031986224166259,19.69223266303792,-14.031882423757505,14.386048897452874,7.401027315207532,-5.859486542535736,5.722570193422428,1.5658856661693161,-4.305704161364668,15.371966083555613,-6.182484193889083,9.706869109811485,-0.19487941359965544,3.2639900877431605,41.4516799792525,0.08577353386159711,3.717041402116449,7.592639799661982,-3.999859824209856,0.05230356538665595,-2.5170121378118098,2.2776481462313933,-2.051094391112579,2.020090049123359,-1.8389244032621577,1.9578706362604346,-0.8118490238320815,0.4427012875157639,-0.875013854668483,2.927531053038716,-2.509581985779711,1.5831947019209154,-0.9210121568895636,-0.3335423946167016,-6.146972110901897,-0.5880661106533609,-0.898703085317057,-0.9722781753051104,0.8634931650128984,0.0610355683804623,0.3727165583518775,-0.4921364541015922,0.3190681118396749,-0.15315348161067666,0.010226975394889249,-0.17224329126157398,0.11555538857887251,-0.0026882310476710487,0.13699140717780484,-0.5118191002464462,0.3098890644846145,-0.3477194298061625,0.04912049128262698,-0.15016010960007092
5,2.5,3.0,0.026137732,0.023666666666666666,2734.1062658050078,0.00033008621884285616,-118.85921320044567,162.63154851354784,46.63135309011774,27.671108524744653,-23.944068894338308,6.459658180977669,-2.8389539442659024,27.393938243344664,-21.433118607147396,13.400682531882653,3.181343516429111,1.241812233478459,-4.007253192570975,8.123682737748133,-9.487757249063005,22.669078969196217,-11.298587155409802,15.188275723862894,-4.871906924954718,5.391452598464291,24.765464281591353,-4.394512081637713,2.1498175292108717,5.243035174586386,-2.22953093021137,0.9265529204395833,-1.7273266410033354,0.8461196718392776,-1.3400339480220145,2.838678923056755,-2.0808854112085924,1.9202910483666003,0.005522372091241123,0.9406283553048492,0.14863085425008996,2.1590228181015148,-1.4976860752999612,1.1677987108795689,-0.5649849671461652,-0.5447498419360196,-6.520965017712087,-0.5704385374759692,-0.9695363193725526,-1.0367978869116858,0.9266529816069522,0.05162749532916316,0.3995057037834107,-0.5203084957722854,0.3413523382831468,-0.1853295883439629,0.015844065400736927,-0.19068551644075196,0.1132583688668339,-0.012207795012024987,0.13325629114351328,-0.5544562551823994,0.3255823696036504,-0.3786624036542297,0.04798522754100411,-0.1629333171978692
6,3.0,3.5,0.020163042,0.025625,2321.8449004490917,0.00020562280004747386,-130.77093390341824,172.23354353445546,42.14429078856806,19.774680481878306,-22.15669250632933,13.603463098881903,-5.032815147183287,23.101496637242455,-16.211544956699694,15.958411533001714,8.603380960440283,2.701986016937332,-2.8002731235574965,5.86330264870938,-7.501981037850555,25.47926116353006,-12.525585892889733,9.550097404590174,-6.125635487347019,0.8437525373708246,2.3258898729799684,-3.3368576909942163,-2.1001765141188726,1.3718524781918628,1.560058065431859,0.3620685373616337,-0.11997791511134434,-0.8442028284023204,-0.0029803614136971607,0.9081125190595793,-1.7438600108577353,0.8137575376159223,-0.13229881063107796,0.36945451744361457,-0.07547610780740259,-0.3992064780556827,-0.5560877681578069,-0.6887797200044646,-0.6331007916435389,-1.311142297803917,-6.242861422751069,-0.49576711055098066,-0.943415921490793,-0.9976378098270926,0.8971475000403107,0.03705667274494769,0.38634427883660283,-0.4964496878657503,0.32950133089830413,-0.1989727362428529,0.01987674886651091,-0.19005918997585478,0.09963551226811186,-0.02050657947517643,0.1161955459948704,-0.5416477846001128,0.3087174377623213,-0.37173913713687395,0.04205144104528083,-0.15941319307588056
7,3.5,4.0,0.049128987,0.02075,1872.3658931580437,0.00014357002784904895,-74.4269580397824,186.78501914486816,22.002282021623095,28.026732993424154,-12.229668125610033,3.4834162022401314,3.1982953818478643,21.862338279819745,-17.138410169225182,17.54144230810824,-12.609122936710207,9.709627474387695,0.9965103499272666,5.625921560958467,-4.35431554312251,21.95113245515532,-15.648315094673844,6.522362790415034,-11.39725055708394,0.9376934875997556,2.3258898729799737,-3.336857690994216,-2.1001765141188673,1.3718524781918642,1.5600580654318565,0.3620685373616344,-0.11997791511134512,-0.8442028284023196,-0.0029803614136971615,0.90811251905958,-1.7438600108577345,0.813757537615922,-0.13229881063107787,0.36945451744361385,-0.07547610780740305,-0.39920647805568094,-0.5560877681578074,-0.688779720004463,-0.6331007916435385,-1.3111422978039162,-6.242861422751062,-0.49576711055098044,-0.9434159214907927,-0.9976378098270922,0.8971475000403103,0.03705667274494768,0.38634427883660266,-0.49644968786575,0.329501330898304,-0.19897273624285283,0.019876748866510936,-0.19005918997585478,0.09963551226811183,-0.020506579475176402,0.11619554599487035,-0.5416477846001124,0.3087174377623211,-0.37173913713687373,0.04205144104528081,-0.15941319307588045
8,4.0,4.5,0.025211448,0.0335,3123.3869228802564,0.0007743613693496652,-51.38051018990828,153.0964105366218,38.044631978802585,37.9888164368603,-17.42709560273392,6.172123308802542,-21.005767244456475,14.976336860807585,-17.071071085286857,21.828719447874633,-10.05915329264223,15.989867652778877,-16.992988358332816,2.817390057023343,-8.973528847120704,20.55288336711098,-19.963312056327474,6.0370639264502,-12.55597435064162,-0.37106995129545406,2.3258898729799737,-3.336857690994216,-2.1001765141188673,1.3718524781918642,1.5600580654318565,0.3620685373616344,-0.11997791511134512,-0.8442028284023196,-0.0029803614136971615,0.90811251905958,-1.7438600108577345,0.813757537615922,-0.13229881063107787,0.36945451744361385,-0.07547610780740305,-0.39920647805568094,-0.5560877681578074,-0.688779720004463,-0.6331007916435385,-1.3111422978039162,-6.242861422751062,-0.49576711055098044,-0.9434159214907927,-0.9976378098270922,0.8971475000403103,0.03705667274494768,0.38634427883660266,-0.49644968786575,0.329501330898304,-0.19897273624285283,0.019876748866510936,-0.19005918997585478,0.09963551226811183,-0.020506579475176402,0.11619554599487035,-0.5416477846001124,0.3087174377623211,-0.37173913713687373,0.04205144104528081,-0.15941319307588045
9,4.5,5.0,0.004374155,0.06783333333333333,5467.964597921897,0.002092683937686285,-261.02440021104076,106.99895739698755,23.47949996057036,7.046430292564698,-0.4052826757876739,19.43749719316351,-0.3377473250862726,12.291447994872549,-10.562893178810679,31.952242692800144,-3.8755847584898273,8.123768732131662,6.101378797873597,14.058039396429201,4.382398518713668,16.19998779700147,-5.663918694191226,10.164649720775373,-3.52625407112315,-0.42166328875838704,2.3258898729799737,-3.336857690994216,-2.1001765141188673,1.3718524781918642,1.5600580654318565,0.3620685373616344,-0.11997791511134512,-0.8442028284023196,-0.0029803614136971615,0.90811251905958,-1.7438600108577345,0.813757537615922,-0.13229881063107787,0.36945451744361385,-0.07547610780740305,-0.39920647805568094,-0.5560877681578074,-0.688779720004463,-0.6331007916435385,-1.3111422978039162,-6.242861422751062,-0.49576711055098044,-0.9434159214907927,-0.9976378098270922,0.8971475000403103,0.03705667274494768,0.38634427883660266,-0.49644968786575,0.329501330898304,-0.19897273624285283,0.019876748866510936,-0.19005918997585478,0.09963551226811183,-0.020506579475176402,0.11619554599487035,-0.5416477846001124,0.3087174377623211,-0.37173913713687373,0.04205144104528081,-0.15941319307588045
