segment_index,start_time_sec,end_time_sec,rms,zero_crossing_rate,spectral_centroid,spectral_flatness,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,mfcc_delta_1,mfcc_delta_2,mfcc_delta_3,mfcc_delta_4,mfcc_delta_5,mfcc_delta_6,mfcc_delta_7,mfcc_delta_8,mfcc_delta_9,mfcc_delta_10,mfcc_delta_11,mfcc_delta_12,mfcc_delta_13,mfcc_delta_14,mfcc_delta_15,mfcc_delta_16,mfcc_delta_17,mfcc_delta_18,mfcc_delta_19,mfcc_delta_20,mfcc_delta2_1,mfcc_delta2_2,mfcc_delta2_3,mfcc_delta2_4,mfcc_delta2_5,mfcc_delta2_6,mfcc_delta2_7,mfcc_delta2_8,mfcc_delta2_9,mfcc_delta2_10,mfcc_delta2_11,mfcc_delta2_12,mfcc_delta2_13,mfcc_delta2_14,mfcc_delta2_15,mfcc_delta2_16,mfcc_delta2_17,mfcc_delta2_18,mfcc_delta2_19,mfcc_delta2_20
0,0.0,1.0,0.0015698392,0.0546875,2606.839394194813,0.0012395175471440858,-227.44946732240084,191.64580432792397,-70.44006487118467,52.62577777795873,-26.0777601724576,4.0684761199086505,2.5398052999034118,-12.764710331349642,11.242187270379919,-18.09370963057013,6.3142458426655494,-12.045705247498171,-10.417119131154745,0.9614684546100312,-13.257504696893099,0.4115461928188623,-11.301817527907083,-4.250897491362906,-1.6694801806484127,-6.28154926001797,13.59026610600111,-0.8511127098831544,-4.192506485445377,4.415135452496768,-2.342076087265625,2.3834610435946284,-0.04221598777177975,-0.11629342659653773,-0.695793936433846,-1.604007263150745,1.3656789971121475,-1.2050610752721986,0.4700506926087812,0.2825363218739288,0.012183487864580796,0.10766707471850956,-0.36188205206884944,1.2255387464430576,-0.6926126387937918,0.2031723798168137,-3.034507890691639,1.7071869599716252,0.9554423238240839,-1.140469710030041,1.1076854924980248,-2.096699677102937,0.13559477293156622,0.04827414375341454,0.06792784560304337,0.7875681282819099,-0.5257805092461647,0.653176040250181,-0.4574807028066253,-0.5728892505946651,-0.057286303914735104,0.015471628474979382,0.381044429667589,0.12880208021254455,0.1599974766852317,-0.24875460917539663
1,1.0,2.0,0.0020599,0.06354166666666666,2928.417385080263,0.0013379210543694117,-208.5602030037989,185.6974355250888,-77.39297340917138,61.50251201784172,-31.145342154483906,7.0254659528337235,-1.6689910665384782,-12.404775127049037,16.194807710930135,-19.096211415400262,10.380365460038993,-7.43670446131336,-4.578917618260494,1.4715460380211778,-13.121034688300206,0.22667078769028015,-13.74333469374261,-3.189356896884298,-4.304261013728275,-8.873603703506882,13.59026610600111,-0.8511127098831544,-4.192506485445377,4.415135452496768,-2.342076087265625,2.3834610435946284,-0.04221598777177975,-0.11629342659653773,-0.695793936433846,-1.604007263150745,1.3656789971121475,-1.2050610752721986,0.4700506926087812,0.2825363218739288,0.012183487864580796,0.10766707471850956,-0.36188205206884944,1.2255387464430576,-0.6926126387937918,0.2031723798168137,-3.034507890691639,1.7071869599716252,0.9554423238240839,-1.140469710030041,1.1076854924980248,-2.096699677102937,0.13559477293156622,0.04827414375341454,0.06792784560304337,0.7875681282819099,-0.5257805092461647,0.653176040250181,-0.4574807028066253,-0.5728892505946651,-0.057286303914735104,0.015471628474979382,0.381044429667589,0.12880208021254455,0.1599974766852317,-0.24875460917539663
2,2.0,3.0,0.0022911925,0.06714583333333334,3746.4843306967314,0.0018970589717685385,-194.71078040620347,172.06511728855435,-74.97085887469714,69.33113182365193,-44.02559858308416,21.317180703208685,-7.013942655863593,-15.526895835362847,17.217682637184872,-27.33735397163398,14.377542694307799,-9.755817859968035,-6.757543422777859,-3.163132621409181,-18.66201513740262,1.434063148909944,-9.351836711523429,-2.2911663409491636,-2.0353556446715855,-4.514050653409481,13.590266106001112,-0.8511127098831618,-4.192506485445375,4.415135452496764,-2.342076087265622,2.383461043594629,-0.042215987771779186,-0.11629342659653698,-0.6957939364338486,-1.6040072631507465,1.3656789971121475,-1.2050610752721982,0.47005069260878196,0.2825363218739289,0.012183487864582994,0.10766707471850956,-0.3618820520688487,1.2255387464430585,-0.6926126387937918,0.2031723798168146,-3.034507890691641,1.7071869599716263,0.9554423238240851,-1.1404697100300425,1.1076854924980255,-2.0966996771029387,0.1355947729315663,0.0482741437534146,0.06792784560304349,0.7875681282819108,-0.5257805092461653,0.6531760402501816,-0.4574807028066256,-0.5728892505946654,-0.05728630391473515,0.015471628474979385,0.3810444296675893,0.1288020802125446,0.15999747668523184,-0.24875460917539677
3,3.0,4.0,0.0020889477,0.0651875,2854.802473199683,0.0011478652816842476,-194.85689839820353,190.47615881462485,-78.80859621364047,63.79718754502463,-30.15866249310463,11.289230229882538,-4.378918728898595,-16.91557566041712,14.182469112096996,-20.72599731828889,8.84736845527512,-9.325250609358509,-5.023801887457348,-0.8658348454729103,-15.45776856617157,2.303011105503228,-11.311701156076614,-2.6000794734303794,-2.5224148879589183,-7.024379398343724,9.160089933299735,2.3186203140504427,-3.1250677925528163,2.9430574590104266,-0.23353671353574704,-1.7634265947819368,0.8529056402425758,-0.12437354120305233,-1.141406974654504,-0.5027909082372944,-0.25756150446550263,-0.49598441067021853,-0.5671982582243283,-0.9380739516331076,-0.11615821398696426,0.13981411193733595,0.5544947374163056,1.815610780574454,-0.14287451251990646,0.36020972283536035,-5.239081166917242,1.8828330496426846,2.096761371327883,-2.036143733982201,1.074994718430253,-2.1980951137600426,-0.17793072052350922,-0.05214012484223388,0.2764332508067653,0.9549529992761819,-0.35599419844634,1.1316690499364717,-0.66847254259579,-0.8858893816254416,-0.2639075270898408,-0.08813228617942312,0.5773916342399885,0.05240269798030061,0.3687070244712005,-0.3512391190689976
4,4.0,5.0,0.0029392254,0.07814583333333333,3255.574623896211,0.0011931951996225043,-166.34978909519302,185.00087913374014,-90.694785896177,73.55411727685109,-38.281480439475345,13.853899199357382,3.6836891922245742,-11.090777197648286,8.769386887627249,-25.298852994879546,13.90913933060822,-17.126737549836584,-7.84442353351241,3.542840505726719,-12.028220318634503,-0.08828859249506417,-14.327044557084324,1.582157529125422,-6.023466437502048,-6.190299513515477,0.6328147388936025,6.099955578008173,0.05098578722876498,-0.5511741009102689,2.14208168835956,-6.026593522731776,0.1881970628788736,0.12911734947379241,-0.13334818930829984,1.7832252008020815,-0.4516032983298518,1.706280793677717,-1.2987283460077907,-1.9716047943458783,-0.21007718078332224,0.16895169848399325,1.0851517015265184,1.5745131304400821,-0.16749431850457577,-1.1191193375694426,-5.961480857645232,1.7473833537452637,2.504032010716513,-2.6223299131681594,1.0172064899223312,-1.4684085210520526,-0.5341528864657423,-0.3382097642936063,0.35706674094171464,0.9284597607681374,-0.21672844469379984,1.2377041544695644,-0.3991634885650835,-0.6234574109282593,-0.32486868161968013,-0.0727593826395652,0.3810540576949865,-0.38151383461387467,0.5261889266397889,-0.41628444672812026
5,5.0,6.0,0.0027742838,0.07354166666666667,3013.9830216455844,0.0010178919325565174,-176.9402489928055,190.8226561727481,-85.15634886119553,74.10630658629427,-35.18508479396705,1.9399737308496967,-2.7532787893696864,-15.24470215192158,14.71192071243643,-22.62941644496395,9.32675961956127,-6.231166669730177,-6.871468854014859,-6.571810283712308,-17.018723167619086,1.6869172180794638,-8.483257083880638,3.952035070950673,-3.0245781799125755,-6.234430659277084,-6.126414045031332,5.087518394384595,4.169554234856961,-3.2824284407107114,0.7908186170730458,-4.401987242042376,-1.0470761157146518,-0.4996994388428717,0.4051494440372051,1.4771415012537472,0.4943491526014482,2.9976132399351987,-1.9879225010618804,-3.019840028143373,-1.1962238132606697,-0.36363666806134765,1.801559242333408,1.3130650443460488,0.8883633234176017,-0.8918773568350444,-2.7382726814687186,0.7408817585836306,1.2421626202199487,-2.0486750206377384,0.023448120415447728,0.26195318238691584,-0.4118755839519551,-0.37554009495299806,0.05848668854797249,0.40199338006732166,0.15767983872619235,0.34364049247307643,0.07256847209695633,0.3112075567834557,-0.020393753842842526,-0.180555905231713,-0.29132029637565404,-0.7497766992626408,0.24814056399411727,-0.2710650088066789
6,6.0,7.0,0.0025244285,0.058125,2423.8228609756957,0.0006558115372534664,-200.50503141443448,202.39164649953358,-71.5420536147758,61.42070179846577,-30.801978990855158,-4.141158660933759,-6.88577731123368,-15.716745842241655,16.286215890473656,-17.46951840428605,11.879830620515467,-2.771455861393623,-12.327351669538054,-10.168168874018868,-18.931923740595472,2.586868585041792,-5.34030023998883,2.305342039060716,-2.6217455912176355,-10.50462171079001,-8.573886193059499,6.501355018676075,4.680342554432294,-5.583771163483457,2.231778697041634,-3.6393012380354093,-1.762989542121875,-1.6196792992446576,0.316261558928869,2.0483253359444165,-0.09391855489032641,3.236660871772911,-0.8154046287978582,-1.7938676945122334,-1.072127120596964,-0.004404448479974409,0.9198559839475318,-0.4307575585121111,1.422713076436397,-1.252206313988583,2.8011312468241054,-0.19415985454079704,-1.2881577990043929,-0.7270623875032642,-1.2549354809703812,1.5431072436787494,0.25550133535373726,-0.23529450848160072,-0.35886271601956193,-0.4659875512813053,-0.03847731871426563,-0.8270391424157031,0.7636894968100987,1.2026494629534101,0.30313566534333225,-0.22143946467110423,-0.8876168533105897,-0.8301338250479562,-0.05035948598310911,0.3898608130618134
7,7.0,8.0,0.0024592923,0.049854166666666665,2248.862181373141,0.0005994496625359994,-208.41134746373945,207.2183671036511,-67.53719118005628,53.45175308066374,-29.944320132049498,-1.7231770501837582,-4.329566055742724,-17.101088532334792,12.449801830859817,-17.25495710731691,12.333768573328737,-1.5148252539040061,-12.721950324753923,-9.109530296316972,-17.98703592149443,-0.8527508235719369,-6.797277102957327,3.603653493332213,0.21854130598688118,-9.326605083881677,0.07207699193270051,5.822329386634642,0.7710669249451583,-4.7840191128916665,-0.16114461579954537,-1.647306825195542,-0.2308789770168241,-1.1276756916088164,-1.073778406033226,1.3746259245281454,0.3519953174456959,0.4570280126475659,-0.4460177563445133,0.5290952823673473,0.21289798670564397,-0.6762873407392447,-0.8194588856724705,-0.9306373712626514,0.3027246099801927,-0.928571832988463,10.117489658482404,-0.64549793020334,-3.136172446783565,1.164841333754413,-2.868198185924137,2.488965544499601,-0.5995548773274078,0.17844006189206893,-0.2631277934177398,-1.1315298212312594,0.24258644184237765,-1.9637074162662154,1.288633031602223,1.3535198378729287,0.6200129403335733,-0.21076972494971788,-1.2282014762395022,-0.6927557595839411,-0.6282823973084998,0.9793415285841163
8,8.0,9.0,0.00298621,0.05466666666666667,2324.798484909763,0.0005770791314794535,-193.48367082502352,209.30979876166901,-76.10265196458516,55.962538212249086,-29.74296928522596,-2.511031600302923,-4.343114885198279,-18.260980503664964,11.4817541230599,-17.74445598398099,11.936042079272855,-3.3016038988851273,-8.996205942132168,-4.157637960532111,-16.904699544681648,1.1595231859307642,-10.570754627808324,-0.39743947462590234,-0.5314607982697955,-10.905243871156092,11.539225454532103,4.761750809179166,-4.690559552837294,-3.4356907023361107,-3.656614100056046,0.3116024872385498,1.0576051702986453,-0.7333670665512382,-1.1881978443708927,-0.4954547672416429,-0.5728129743233037,-1.1586223047569801,1.7487667656840165,2.267174865165809,0.601040245950181,-0.7819202885325787,-2.0424235010234884,-1.4543047869953465,-0.12647239170141658,0.8485319658163327,11.404049856509568,-0.720109453536621,-2.93390202136302,1.9240648382653367,-3.3418532700108114,2.528389184880148,-0.5062336407530237,0.755112201608236,0.09058536693673828,-1.3233779276849,0.42140197792508316,-2.0461074264664334,0.8993262352031206,0.5530883531550086,0.4249277352301297,0.019686135070267848,-0.6507208707588827,0.004221699091895413,-0.6463133550934738,1.147336391412822
9,9.0,10.0,0.0035219183,0.05241666666666667,2194.521706794468,0.000404111192420271,-180.09054432784748,216.4752269748536,-79.02071506156506,52.915292814944294,-36.52031272577938,-7.111623925443427,-5.179004887471507,-19.610963279254005,11.745259565977182,-15.618818032475758,11.058630477411056,-3.680952587746597,-10.767130499440368,-6.931599328618952,-16.96784533204778,-0.9808467860612434,-9.965324318333241,0.6502389714807276,-2.556097526485533,-10.676978744036356,34.40447842358485,2.7298308481163525,-6.82585694542606,1.467737997487676,-10.605975913998792,6.067388617818643,-5.455147858561949,-0.05065524572923739,-0.15825982140161216,-2.9086175533095173,1.9467285715298244,-4.623282253130927,3.1731569597082934,1.717237881382246,1.0672572051336227,-1.0287273727836344,-2.8583083963785887,-1.6389401393320373,-1.4784559290559882,2.954461146183076,3.357043621604105,-1.1360416898888346,-0.712542327757328,1.2738665844131005,-1.0379125379044218,1.440986505236384,0.17763279114454852,0.8360590624869416,0.48443166520784653,-0.6317169186510492,0.0219620419295438,-0.8960001683156479,0.19972611329131504,-0.12430691839709429,0.04338646385570545,0.4408497394809183,0.2645995647812578,0.34787130837362873,-0.22373452038718128,0.5660677092180596
